code,date,close,stage,success,max_return,max_date
sz.002908,2025-07-10,11.31,🚀 启动期（重点）,True,15.296198054818733,2025-07-15
sz.002908,2025-07-15,12.38,🚀 启动期（重点）,True,7.350565428109841,2025-08-11
sz.300619,2025-09-01,29.78,🚀 启动期（重点）,True,34.318334452652785,2025-09-12
sz.301261,2025-04-15,84.93659174,🚀 启动期（重点）,True,19.96262118911342,2025-05-06
sz.301261,2025-04-25,85.09533318,🚀 启动期（重点）,True,19.73883642299172,2025-05-06
sh.603610,2025-11-10,20.07,🚀 启动期（重点）,True,9.167912306925759,2025-11-14
sh.603610,2025-12-10,19.63,🚀 启动期（重点）,True,8.711156393275603,2025-12-15
sh.603610,2025-12-15,19.96,🚀 启动期（重点）,True,6.2625250501002,2026-01-06
sh.688151,2025-04-15,17.01018825,🚀 启动期（重点）,True,8.387096774193562,2025-05-12
sh.603162,2025-12-05,13.29,🚀 启动期（重点）,True,6.471030850263365,2025-12-08
sh.603162,2025-12-25,12.78,🚀 启动期（重点）,False,1.1737089201877964,2025-12-29
sz.300157,2025-04-15,2.79,🚀 启动期（重点）,True,55.19713261648745,2025-05-13
sz.300157,2025-06-05,3.88,🚀 启动期（重点）,True,67.26804123711341,2025-06-19
sh.600331,2025-07-25,9.76,🚀 启动期（重点）,True,17.3155737704918,2025-08-22
sh.600331,2025-08-25,11.01,🚀 启动期（重点）,True,7.44777475022707,2025-09-12
sh.600331,2025-09-10,11.27,🚀 启动期（重点）,False,4.968944099378887,2025-09-12
sh.600331,2025-09-15,11.49,🚀 启动期（重点）,False,0.8703220191470813,2025-09-19
sh.600331,2025-12-25,12.42,🚀 启动期（重点）,True,20.289855072463762,2026-01-26
sz.300631,2025-04-15,19.604245,🚀 启动期（重点）,True,8.810126582278489,2025-05-07
sz.300802,2025-04-15,16.12442412,🚀 启动期（重点）,True,15.12915129151292,2025-05-13
sz.300802,2025-08-15,21.88,🚀 启动期（重点）,True,8.226691042047536,2025-08-18
sz.300802,2025-09-25,22.5,🚀 启动期（重点）,False,0.17777777777777398,2025-10-21
sh.688186,2025-04-15,24.19025504,🚀 启动期（重点）,True,13.499184339314843,2025-05-13
sz.002707,2025-04-15,8.5,🚀 启动期（重点）,True,15.882352941176467,2025-04-28
sz.300816,2025-07-15,33.061806,🚀 启动期（重点）,True,23.276904474002425,2025-08-11
sh.603189,2025-08-20,22.64,🚀 启动期（重点）,True,5.565371024734973,2025-09-01
sh.603189,2025-10-10,22.39,🚀 启动期（重点）,True,6.83340777132649,2025-11-07
sz.300180,2025-04-15,7.29,🚀 启动期（重点）,True,24.828532235939637,2025-04-23
sz.000886,2025-12-01,7.72,🚀 启动期（重点）,True,7.25388601036269,2025-12-11
sh.603823,2025-06-10,12.82,🚀 启动期（重点）,True,21.684867394695782,2025-07-02
sh.603823,2025-06-25,13.14,🚀 启动期（重点）,True,18.721461187214604,2025-07-02
sh.603823,2025-08-20,13.7,🚀 启动期（重点）,True,18.467153284671543,2025-09-02
sz.300194,2025-04-15,4.18928826,🚀 启动期（重点）,False,3.2863849765258206,2025-04-23
sz.300194,2025-08-15,4.8775727,🚀 启动期（重点）,False,4.285714285714284,2025-08-19
sz.300194,2025-08-20,4.89748116,🚀 启动期（重点）,False,0.20325203252032423,2025-08-21
sz.301063,2025-06-10,26.6558696,🚀 启动期（重点）,True,34.32835820895524,2025-07-02
sh.688347,2025-12-05,109.48,🚀 启动期（重点）,True,12.824260138838136,2026-01-06
sh.603360,2025-12-10,34.69,🚀 启动期（重点）,False,1.9602190833093103,2025-12-11
sh.688353,2025-12-01,109.5,🚀 启动期（重点）,True,18.2648401826484,2025-12-26
sh.688353,2025-12-25,109.79,🚀 启动期（重点）,True,17.952454686219138,2025-12-26
sz.301077,2025-12-10,27.75,🚀 启动期（重点）,True,11.711711711711711,2026-01-09
sh.688435,2025-12-10,51.1,🚀 启动期（重点）,False,-0.5870841487279926,2025-12-11
sh.688435,2025-12-25,47.8,🚀 启动期（重点）,True,25.10460251046025,2026-01-13
sz.300427,2025-12-15,13.52,🚀 启动期（重点）,True,16.56804733727811,2026-01-14
sh.600641,2025-09-25,18.86,🚀 启动期（重点）,True,26.193001060445393,2025-10-14
sh.600641,2025-10-15,22.31,🚀 启动期（重点）,False,1.4343343792021528,2025-10-16
sh.688409,2025-09-01,71.48,🚀 启动期（重点）,True,8.18410744264129,2025-09-25
sz.300355,2025-04-15,4.34,🚀 启动期（重点）,False,3.6866359447004644,2025-05-07
sz.301088,2025-12-25,17.16,🚀 启动期（重点）,True,14.56876456876457,2026-01-13
sh.605088,2025-09-15,39.64,🚀 启动期（重点）,True,8.451059535822406,2025-10-09
sz.002249,2025-04-15,6.08900391,🚀 启动期（重点）,True,14.673046251993618,2025-05-12
sz.002249,2025-09-10,8.1733245,🚀 启动期（重点）,True,48.84848484848486,2025-09-29
sz.300394,2025-04-15,47.58802788,🚀 启动期（重点）,True,17.237272997916048,2025-05-13
sz.300394,2025-08-20,125.0713324,🚀 启动期（重点）,True,79.43709137298677,2025-09-01
sh.688386,2025-08-05,62.25,🚀 启动期（重点）,True,15.887550200803213,2025-08-21
sh.688386,2025-08-20,69.0,🚀 启动期（重点）,True,21.27536231884059,2025-09-17
sz.002261,2025-08-20,34.92,🚀 启动期（重点）,True,30.09736540664375,2025-08-28
sz.002261,2025-09-15,37.65,🚀 启动期（重点）,True,8.738379814077023,2025-09-18
sh.688392,2025-08-01,81.39250272,🚀 启动期（重点）,True,13.07654563297351,2025-08-06
sh.688392,2025-09-15,87.1634628,🚀 启动期（重点）,True,35.16609392898052,2025-10-21
sh.688379,2025-07-01,35.60604819,🚀 启动期（重点）,True,18.37020442453094,2025-07-17
sh.688379,2025-08-05,41.14986303,🚀 启动期（重点）,True,75.18778773927794,2025-08-21
sz.300357,2025-10-15,30.5497745,🚀 启动期（重点）,True,16.93311582381729,2025-10-28
sz.301061,2025-07-25,93.55565028,🚀 启动期（重点）,True,26.716989155857966,2025-08-20
sz.301061,2025-08-15,108.75371892,🚀 启动期（重点）,True,9.008597036766048,2025-08-20
sz.301075,2025-05-15,24.13,🚀 启动期（重点）,True,32.61500207210941,2025-06-03
sz.301075,2025-07-15,32.6,🚀 启动期（重点）,True,31.042944785276067,2025-07-30
sz.301075,2025-08-15,37.76,🚀 启动期（重点）,True,41.10169491525425,2025-08-29
sz.301075,2025-08-20,41.38,🚀 启动期（重点）,True,28.757854035766066,2025-08-29
sz.300196,2025-04-15,9.8617814,🚀 启动期（重点）,True,18.613861386138616,2025-05-15
sz.300196,2025-06-05,12.3170068,🚀 启动期（重点）,True,18.14516129032258,2025-07-02
sz.300196,2025-07-10,14.899605,🚀 启动期（重点）,False,-0.4666666666666617,2025-07-11
sh.605288,2025-04-25,38.99603222,🚀 启动期（重点）,True,46.60218885212524,2025-05-28
sh.605288,2025-05-20,51.98809284,🚀 启动期（重点）,True,15.40664375715922,2025-06-13
sz.002077,2025-09-01,16.69,🚀 启动期（重点）,True,10.844817255841813,2025-09-12
sz.002077,2025-09-15,17.45,🚀 启动期（重点）,False,2.005730659025796,2025-09-26
sh.603809,2025-04-15,11.64132594,🚀 启动期（重点）,True,44.31345781904979,2025-05-12
sz.002705,2025-04-15,12.60193014,🚀 启动期（重点）,True,15.981735159817342,2025-05-13
sz.002063,2025-09-25,6.35,🚀 启动期（重点）,False,4.4094488188976415,2025-10-15
sz.002088,2025-04-15,11.43874375,🚀 启动期（重点）,True,5.795918367346942,2025-04-23
sz.002088,2025-09-10,12.58,🚀 启动期（重点）,True,10.492845786963438,2025-09-19
sz.300627,2025-07-01,34.83,🚀 启动期（重点）,True,5.110536893482633,2025-07-25
sh.600455,2025-04-15,24.25,🚀 启动期（重点）,True,7.257731958762894,2025-05-08
sz.002922,2025-09-15,20.9207315,🚀 启动期（重点）,True,23.927550047664443,2025-10-16
sh.688609,2025-04-15,9.17,🚀 启动期（重点）,True,34.133042529989105,2025-05-07
sh.688621,2025-09-10,78.5,🚀 启动期（重点）,True,9.490445859872615,2025-09-15
sh.603612,2025-08-20,24.28357248,🚀 启动期（重点）,True,20.016339869281037,2025-09-08
sz.301263,2025-05-15,23.27274145,🚀 启动期（重点）,True,69.55458421079138,2025-06-11
sz.301263,2025-06-05,31.0,🚀 启动期（重点）,True,27.290322580645167,2025-06-11
sz.301263,2025-07-10,38.84,🚀 启动期（重点）,True,8.80535530381049,2025-07-17
sz.301263,2025-07-15,41.4,🚀 启动期（重点）,False,2.0772946859903367,2025-07-17
sz.301505,2025-08-01,21.21247296,🚀 启动期（重点）,True,32.67419962335217,2025-08-15
sz.301505,2025-08-05,21.71182496,🚀 启动期（重点）,True,29.622815087396503,2025-08-15
sz.301505,2025-09-15,23.3197384,🚀 启动期（重点）,True,7.794432548179872,2025-09-26
sh.688147,2025-04-15,29.40991855,🚀 启动期（重点）,True,9.303904923599312,2025-05-07
sh.688147,2025-08-15,34.5,🚀 启动期（重点）,True,41.30434782608695,2025-09-09
sh.688147,2025-08-20,37.99,🚀 启动期（重点）,True,34.21953145564622,2025-09-17
sh.688147,2025-09-01,44.93,🚀 启动期（重点）,True,32.69530380592032,2025-09-24
sz.301511,2025-08-01,35.75,🚀 启动期（重点）,True,19.468531468531474,2025-08-13
sz.301511,2025-08-15,40.75,🚀 启动期（重点）,False,1.3496932515337354,2025-08-18
sz.301511,2025-08-25,40.15,🚀 启动期（重点）,False,1.444582814445824,2025-08-26
sz.301511,2025-09-15,35.72,🚀 启动期（重点）,True,12.933930571108634,2025-09-23
sz.301511,2025-12-10,34.27,🚀 启动期（重点）,True,19.05456667639333,2025-12-25
sz.301277,2025-04-15,11.79000711,🚀 启动期（重点）,True,20.695431879175523,2025-04-23
sz.301277,2025-04-25,12.5,🚀 启动期（重点）,True,38.08000000000001,2025-05-27
sz.301277,2025-08-01,15.8,🚀 启动期（重点）,False,0.3164556962025249,2025-08-04
sh.605277,2025-08-20,26.39,🚀 启动期（重点）,False,3.637741568776055,2025-09-11
sz.002659,2025-09-25,6.28,🚀 启动期（重点）,True,14.171974522292988,2025-09-29
sz.300790,2025-09-15,34.02533568,🚀 启动期（重点）,False,4.812206572769955,2025-09-17
sz.002895,2025-05-20,23.4037426,🚀 启动期（重点）,True,5.056179775280897,2025-05-26
sh.600284,2025-04-15,6.46415055,🚀 启动期（重点）,True,11.010558069381588,2025-05-15
sh.600284,2025-05-20,6.95164305,🚀 启动期（重点）,False,0.7379295747931067,2025-06-10
sh.600284,2025-09-25,9.89116,🚀 启动期（重点）,True,6.5000000000000115,2025-09-26
sh.603955,2025-06-05,34.949985,🚀 启动期（重点）,False,1.6881695371256986,2025-06-16
sh.603955,2025-07-15,33.96,🚀 启动期（重点）,True,17.785630153121314,2025-08-12
sz.000066,2025-09-15,16.57,🚀 启动期（重点）,True,9.535304767652374,2025-09-25
sz.002117,2025-08-25,13.75,🚀 启动期（重点）,False,0.0,2025-08-26
sz.300035,2025-11-10,26.03,🚀 启动期（重点）,True,10.641567422205146,2025-11-13
sz.000933,2025-04-15,16.4129758,🚀 启动期（重点）,True,5.798816568047333,2025-05-13
sz.300753,2025-04-15,20.7548535,🚀 启动期（重点）,True,25.901009130225848,2025-05-08
sz.300753,2025-06-10,27.14,🚀 启动期（重点）,True,40.604274134119365,2025-07-01
sz.300753,2025-08-15,35.93,🚀 启动期（重点）,False,4.369607570275537,2025-08-25
sh.600521,2025-08-25,22.71,🚀 启动期（重点）,True,23.161602818141777,2025-09-08
sz.301459,2025-05-15,40.61212425,🚀 启动期（重点）,True,42.25352112676056,2025-05-21
sz.000099,2025-04-15,21.40794266,🚀 启动期（重点）,True,12.094531974050057,2025-05-07
sz.000099,2025-04-25,22.48925209,🚀 启动期（重点）,True,6.704896338773714,2025-05-07
sh.600509,2025-09-10,7.48,🚀 启动期（重点）,True,31.684491978609614,2025-10-10
sh.600509,2025-11-05,8.85,🚀 启动期（重点）,False,2.9378531073446306,2025-11-11
sh.688027,2025-08-15,287.01,🚀 启动期（重点）,True,18.445350336225218,2025-08-27
sh.688027,2025-08-20,296.86,🚀 启动期（重点）,True,14.515259718385762,2025-08-27
sh.688027,2025-09-25,355.5,🚀 启动期（重点）,True,73.91842475386778,2025-10-31
sz.002467,2025-04-15,5.1400193,🚀 启动期（重点）,True,8.754455455060262,2025-05-07
sh.688580,2025-04-15,39.46458944,🚀 启动期（重点）,True,35.5577689243028,2025-05-07
sh.688580,2025-06-10,47.414503,🚀 启动期（重点）,True,6.507496240127196,2025-07-01
sz.300551,2025-04-15,8.38,🚀 启动期（重点）,True,11.933174224343675,2025-04-22
sh.600737,2025-08-20,15.77,🚀 启动期（重点）,True,20.672162333544716,2025-09-02
sz.300223,2025-12-10,97.95,🚀 启动期（重点）,True,35.78356304236855,2026-01-07
sh.688219,2025-04-15,10.91062224,🚀 启动期（重点）,True,22.28260869565217,2025-05-08
sh.688231,2025-04-15,14.7460788,🚀 启动期（重点）,True,13.721552878179386,2025-05-12
sh.688231,2025-12-25,27.53,🚀 启动期（重点）,True,17.508172902288415,2026-01-26
sz.301115,2025-04-15,13.05791535,🚀 启动期（重点）,True,9.21348314606742,2025-05-16
sz.301101,2025-04-15,48.65446831,🚀 启动期（重点）,True,12.3348912822597,2025-05-08
sz.300579,2025-07-01,33.04,🚀 启动期（重点）,False,4.721549636803881,2025-07-11
